,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max
age,,,,,,,,,,,,
106,24.37168062411154,27.133007102860873,29.89536011113114,7.7974853060095795,8.34307674929046,8.89758155266942,1.7973446434733806,2.14801211889052,2.498679457382323,33.9665105735945,37.624095971041854,41.291621121182885
107,23.72384680403102,26.412304203249537,29.103753706777013,7.86870693730514,8.42562588766723,8.992800606460202,1.759632848665814,2.1041664990049584,2.4487000181272096,33.35218659000198,36.94209658992173,40.545254331364426
108,25.275881148155655,28.13601485021311,30.996930436327343,8.026355554089038,8.596689098158162,9.177884655126464,1.8275181479551303,2.1840061182641204,2.540493961051949,35.129754850199824,38.916710066635396,42.71530905250576
109,24.564412073331034,27.342922613291897,30.12176315948623,7.624077616905449,8.176405018359324,8.738985763233996,1.8156482506850555,2.1701236757929765,2.5245989640433186,34.00413794092154,37.6894513074442,41.38534788676355
110,25.546290899994126,28.433587721412028,31.32180337476635,8.891179212307863,9.494661571252996,10.110135408422192,1.867833944935928,2.2323478330206576,2.596861581312414,36.30530405723792,40.16059712568568,44.02880036450095
111,26.519700311797962,29.514195847237055,32.509181491171404,8.552295667818695,9.08342306913849,9.622617921899804,1.9174753572147005,2.2911868435912783,2.6648982022452423,36.98947133683136,40.88880575996682,44.79669761531645
112,26.28604565919276,29.251298039277042,32.21689769990773,8.421730658956381,8.950314213693055,9.485814629445777,1.852813208580562,2.214088463623545,2.5753635784692843,36.56058952672971,40.41570071659364,44.278075907822796
113,26.365619541046506,29.34378888615798,32.32214076221031,8.450207326072189,8.974799339073986,9.505822800619486,1.8544316071118927,2.21600122556798,2.5775707150659044,36.670258474230586,40.53458945079994,44.4055342778957
114,26.221482000318627,29.185948550277185,32.151230431101666,8.371826904777325,8.872415990075648,9.379030785322538,1.9903062242758518,2.3788475270623586,2.767388691513812,36.58361512937181,40.43721206741519,44.29764990793802
115,26.618447206504257,29.633094863798423,32.64850709615678,9.964566365059564,10.520686850330282,11.082481353468342,2.0933254842851134,2.501327168041197,2.909328691691652,38.67633905584894,42.6551088821699,46.64031714131677
116,24.96405408387296,27.797930345552707,30.631880611852942,8.20750811957389,8.687370685788315,9.172879994713744,1.96961464091595,2.353342969157382,2.7370711539842323,35.141176844362796,38.838644000498405,42.54183176055092
117,25.236956350001673,28.106670859864543,30.97684714328891,7.7040537603639505,8.176904676492061,8.658930885403622,1.9684715303009666,2.352246634121847,2.736021591073886,34.90948164066659,38.635822170478455,42.37179961976642
118,24.935537010217097,27.781739411405603,30.62922501672731,7.707094951888067,8.186109518142633,8.67126934458025,1.9677670982789062,2.3517106868927806,2.735654126566893,34.61039906038407,38.31955961644102,42.03614848787445
119,25.49996434521165,28.40745645164668,31.315667408341938,7.851598938160093,8.333257895324802,8.82222184050832,1.8963448211866316,2.2660599900359566,2.635775032354105,35.24790810455838,39.00677433700744,42.77366428120436
120,24.500922306081385,27.3081949651758,30.118739072108838,9.727528642909837,10.275160245121528,10.832178051992816,1.8048389251025423,2.156518474320039,2.508199849130466,36.03328987409377,39.739873684617365,43.45911697323211
121,26.08355834346667,29.10875066894466,32.15328480214788,9.097574207829409,9.622065338092614,10.154666996032724,1.9467081807942332,2.3262562824315145,2.7058048254902323,37.12784073209031,41.05707228946879,45.01375662367084
122,26.053816631681983,29.078042644560256,32.12866512092775,9.579362343507748,10.137866485763627,10.704256359658977,1.9766329071168212,2.3614864620773215,2.746339870234463,37.60981188230655,41.5773955924012,45.57926135082119
123,26.092821807285013,29.12646239115537,32.18077532460322,9.460686120675621,10.01569218441211,10.578968579149,1.980329238991764,2.3663295564108386,2.752329745315275,37.5338371669524,41.50848413197832,45.51207364906749
124,25.91077360089852,28.9309802147792,31.965046165182553,9.157384355095079,9.71245883557876,10.27548998964535,1.9444743046634252,2.3236427558286668,2.702811084985195,37.01263226065702,40.96708180618663,44.9433472398131
125,25.437091649341443,28.41021713021388,31.411339202097977,8.781801923301245,9.31928208340596,9.864759930124658,2.0579455257689125,2.4592088683894087,2.860472066950946,36.2768390984116,40.18870808200925,44.13657119917358
126,22.443969568388965,25.11406795101804,27.819451241239136,8.748961429631233,9.280997375873431,9.82283406222,2.0835266222703916,2.4895556872544597,2.8955852577353096,33.27645762029059,36.88462101414593,40.537870561194445
127,22.758578945712387,25.466163322897238,28.202938229386938,9.34382046650979,9.921690950492842,10.50855388726949,2.067949019760361,2.471336744000835,2.8747243311318,34.17034843198254,37.85919101739091,41.58621644778823
128,22.812051244853908,25.528929841048473,28.268032778896355,9.006989311054115,9.595644326948111,10.192460355681737,2.0935129215631525,2.5019584219166897,2.910406133129859,33.91255347747118,37.626532589913275,41.370899267707955
129,23.036239186958305,25.777457109897945,28.54431137933276,9.583050664869816,10.207362088231918,10.840358255421926,2.1479257858012435,2.5663009615762107,2.984678212683114,34.76721563762936,38.55112015970607,42.3693478474378
130,23.350230915175715,26.09197804815023,28.839220303551336,9.247811824057788,9.866071903646157,10.493020293509522,2.1213710919201105,2.5351165049001168,2.948861753808643,34.71941383115362,38.49316645669651,42.2811023508695
131,29.512579676063304,32.898454820453985,36.285910486830474,10.298875353317316,10.941877952887518,11.593183753150024,2.9481451052933556,3.523489434526204,4.098833473456984,42.759600134673974,47.363822207867706,51.97792771343748
132,28.12086325721914,31.344586253118013,34.57404148158946,10.024927280481792,10.637151687522023,11.254256422971197,2.9263452150363007,3.4974671721070734,4.068588843393238,41.07213575273723,45.47920511274711,49.89688674795389
133,27.566453463867322,30.72715230766504,33.89495423635843,10.135274447352616,10.729440976034507,11.32800845705762,3.325088713756391,3.9737051886208024,4.62232145852649,41.026816624976334,45.43029847232035,49.84528415194254
134,26.969947290419356,30.06509818286936,33.171257244372285,9.715160860384428,10.300469014295201,10.889754216463613,3.412976768404559,4.079059358389934,4.7451594315782515,40.09808491920835,44.44462655555449,48.80617089241415
135,26.968101100567768,30.106460419221822,33.25859638846286,9.22599726109403,9.763650578483784,10.30600838155889,3.5114084768261344,4.19737913003796,4.883349444462553,39.705506838487935,44.06749012774357,48.447954214484305
136,26.558659172919974,29.660508939249727,32.77385756197446,9.549181836256114,10.08732232736401,10.628718729296425,3.448844202173338,4.122909932962944,4.796975357770794,39.556685211349425,43.870741199576685,48.19955164904168
137,26.534959108939166,29.631348807200656,32.74085017138481,9.565874832594867,10.103208610258017,10.643780147981355,3.770665786101337,4.5080138143880975,5.2453615485870175,39.871499727635374,44.242571231846775,48.62999186795318
