# Age_Myr	SL (m) # Miller et al (0-66.6 Ma), Haq hybrid 66.7 - 205 Ma
93.3	252.6466712				
93.4	252.0574257				
93.5	240.6010914				
93.6	218.5539766				
93.7	217.4498551				
93.8	224.589713				
93.9	236.8123013				
94	245.716633				
94.1	248.5030953				
94.2	244.2515861				
94.3	225.9456054				
94.4	219.6084523				
94.5	223.9144048				
94.6	238.6954343				
94.7	243.1910249				
94.8	241.5890991				
94.9	211.4732453				
95	124.5398754				
95.1	117.1744922				
95.2	117.0883306				
95.3	124.9731701				
95.4	142.5842101				
95.5	166.5460668				
95.6	188.4365876				
95.7	205.0108471				
95.8	217.2137684				
95.9	224.8290832				
96	228.6580746				
96.1	229.5562063				
96.2	227.6885693				
96.3	221.0625695				
96.4	205.3361568				
96.5	189.6294624				
96.6	183.6748879				
96.7	182.2282635				
96.8	183.3265746				
96.9	187.7959041				
97	196.3003706				
97.1	206.0041929				
97.2	215.7764003				
97.3	222.0951319				
97.4	226.0905314				
97.5	226.7135614				
97.6	223.9401395				
97.7	213.7151312				
97.8	190.9309793				
97.9	163.4840035				
98	147.0731408				
98.1	142.3985523				
98.2	142.3880316				
98.3	150.6284257				
98.4	189.047177				
98.5	223.0184485				
98.6	228.0075316				
98.7	219.7627004				
98.8	169.7820124				
98.9	167.8195833				
99	173.2312193				
99.1	196.7876152				
99.2	225.6102362				
99.3	232.2854828				
99.4	232.8169879				
99.5	229.6375764				
99.6	218.7743561				
99.7	184.2605115				
99.8	160.2784394				
99.9	140.2051387				
100	132.0738849				
100.1	129.5110456				
100.2	130.5083817				
100.3	138.0908868				
100.4	168.9326259				
100.5	196.1843677				
100.6	209.3836294				
100.7	216.7621351				
100.8	221.6955644				
100.9	225.1274584				
101	227.3921813				
101.1	228.7340792				
101.2	229.3491052				
101.3	229.5909329				
101.4	228.9078489				
101.5	227.0555588				
101.6	223.3062013				
101.7	218.3493892				
101.8	211.1025175				
101.9	200.341369				
102	185.2746981				
102.1	166.1869717				
102.2	149.1720885				
102.3	136.2766328				
102.4	129.5373786				
102.5	128.0148402				
102.6	129.0353741				
102.7	134.1892454				
102.8	143.2248416				
102.9	159.352791				
103	178.1252931				
103.1	194.3765503				
103.2	201.193737				
103.3	202.5249111				
103.4	193.6824651				
103.5	123.5672507				
103.6	121.2649381				
103.7	127.8473284				
103.8	149.7346416				
103.9	172.5072345				
104	186.0423911				
104.1	189.7522943				
104.2	189.7205145				
104.3	183.6165285				
104.4	163.0256718				
104.5	139.6265142				
104.6	131.8983286				
104.7	130.7327017				
104.8	132.8888819				
104.9	138.5682098				
105	145.1297089				
105.1	152.9496724				
105.2	159.7531823				
105.3	165.7710123				
105.4	169.6604334				
105.5	172.3227167				
105.6	173.8281961				
105.7	174.1049519				
105.8	173.1006527				
105.9	170.2697795				
106	165.8574811				
106.1	160.10207				
106.2	152.6958709				
106.3	144.9014049				
106.4	135.4189861				
106.5	127.0832565				
106.6	118.4147611				
106.7	111.2047252				
106.8	105.5385217				
106.9	101.56846				
107	99.90152233				
107.1	99.79555215				
107.2	101.068436				
107.3	104.190598				
107.4	111.530768				
107.5	121.8516015				
107.6	136.3785609				
107.7	147.6576017				
107.8	154.3047546				
107.9	155.5851562				
108	153.9436948				
108.1	147.296776				
108.2	135.0026434				
108.3	120.1223203				
108.4	104.8994656				
108.5	87.74589779				
108.6	74.33433586				
108.7	63.01918184				
108.8	57.52582061				
108.9	57.2694858				
109	62.23502453				
109.1	78.13725442				
109.2	101.6345399				
109.3	125.0901765				
109.4	139.3620962				
109.5	145.1102955				
109.6	145.1719302				
109.7	141.8572953				
109.8	131.370224				
109.9	113.6111681				
110	97.170334				
110.1	89.67960804				
110.2	87.82423596				
110.3	91.07448728				
110.4	102.1145003				
110.5	125.864083				
110.6	140.1237167				
110.7	144.0853557				
110.8	141.2848255				
110.9	80.09492687				
111	74.65600093				
111.1	75.69449005				
111.2	82.99700593				
111.3	95.77413948				
111.4	110.6103502				
111.5	121.6073544				
111.6	130.9375959				
111.7	136.8764678				
111.8	140.0599419				
111.9	140.8613488				
112	140.3562407				
112.1	135.9788848				
112.2	126.8900766				
112.3	106.9458322				
112.4	78.72761506				
112.5	53.9281325				
112.6	41.58790745				
112.7	38.10360507				
112.8	39.12076004				
112.9	46.3066399				
113	58.69627343				
113.1	75.91250208				
113.2	91.89205229				
113.3	106.4865827				
113.4	117.4700616				
113.5	126.1202398				
113.6	131.949954				
113.7	135.0220236				
113.8	136.6055104				
113.9	136.6308518				
114	133.3781828				
114.1	125.2690873				
114.2	104.705338				
114.3	82.73362619				
114.4	76.54293328				
114.5	74.82282852				
114.6	75.30717061				
114.7	78.07941592				
114.8	82.96502778				
114.9	89.38828397				
115	98.02519471				
115.1	107.6021859				
115.2	116.1348762				
115.3	123.2113211				
115.4	129.2559584				
115.5	133.0088958				
115.6	135.1127535				
115.7	134.3711816				
115.8	129.5904246				
115.9	95.65299094				
116	74.88182017				
116.1	72.92392654				
116.2	73.82397918				
116.3	78.19895443				
116.4	86.60837245				
116.5	98.16757594				
116.6	110.4433671				
116.7	120.4588818				
116.8	128.5767924				
116.9	133.2806649				
117	133.8272199				
117.1	131.8063725				
117.2	122.8108229				
117.3	105.1167804				
117.4	91.969198				
117.5	85.31248836				
117.6	81.91081245				
117.7	80.72455912				
117.8	80.22194238				
117.9	80.67875502				
118	82.37063017				
118.1	85.4835961				
118.2	90.00185945				
118.3	96.84668295				
118.4	105.6869807				
118.5	114.7410306				
118.6	122.245786				
118.7	128.5795765				
118.8	132.2399385				
118.9	134.7611377				
119	135.8213568				
119.1	135.9085346				
119.2	135.4305226				
119.3	134.0920174				
119.4	131.9206821				
119.5	128.8821034				
119.6	125.0111428				
119.7	120.3129382				
119.8	114.6703801				
119.9	107.4912413				
120	100.0690142				
120.1	93.17351875				
120.2	87.82678761				
120.3	82.92856877				
120.4	80.20733801				
120.5	79.40468306				
120.6	80.19423833				
120.7	82.91420534				
120.8	87.99382406				
120.9	95.20097273				
121	104.5195872				
121.1	114.5044469				
121.2	124.5544267				
121.3	132.3865751				
121.4	138.2099273				
121.5	142.0308394				
121.6	143.7419824				
121.7	143.1399722				
121.8	139.4201426				
121.9	131.2131748				
122	117.3386721				
122.1	102.8974895				
122.2	94.1748233				
122.3	89.22430351				
122.4	87.17627441				
122.5	86.89563523				
122.6	88.48744456				
122.7	92.93886424				
122.8	101.9562778				
122.9	119.7100214				
123	134.438658				
123.1	142.4474608				
123.2	146.9136087				
123.3	148.8347317				
123.4	149.3548994				
123.5	148.8754156				
123.6	146.7200897				
123.7	143.2254347				
123.8	137.6698021				
123.9	130.018893				
124	119.5354437				
124.1	107.5839063				
124.2	95.03692205				
124.3	81.10478577				
124.4	69.04971292				
124.5	58.89931798				
124.6	52.19384177				
124.7	47.94950641				
124.8	45.15564323				
124.9	44.20121086				
125	45.48504904				
125.1	48.06523514				
125.2	54.74608287				
125.3	63.69771154				
125.4	78.08856128				
125.5	100.5211747				
125.6	127.0228274				
125.7	147.1560589				
125.8	154.4818788				
125.9	151.415416				
126	98.38530305				
126.1	53.3457964				
126.2	53.02590626				
126.3	62.2211601				
126.4	83.79799166				
126.5	107.710835				
126.6	127.5864483				
126.7	140.4448279				
126.8	149.9904548				
126.9	155.9935492				
127	158.7417844				
127.1	158.9770464				
127.2	156.933053				
