# Age (kyr)	GMGSL (m)Miller et al. (2024)
2.018900	-10.0305
2.021167	0.0246
2.023660	-10.0682
2.026155	-16.0401
2.028425	-12.3964
2.030240	-19.7361
2.032283	-13.3448
2.034778	-29.8459
2.037045	-13.8444
2.039312	-35.8375
2.041578	-12.0548
2.044263	-18.0311
2.046418	-30.8703
2.048570	-27.2294
2.051198	-30.9191
2.053593	-41.9333
2.056238	-25.0204
2.059228	-29.6327
2.061621	-31.4920
2.064345	-27.4015
2.066899	-40.2590
2.069806	-50.8343
2.073041	-49.9626
2.077243	-27.5610
2.081445	-41.3728
2.084771	-41.4215
2.088111	-27.2494
2.090450	-22.2345
2.094124	-6.2190
2.096129	-4.8668
2.097875	-32.4422
2.100058	-28.3420
2.102242	-22.8622
2.105153	-20.6076
2.108277	-23.8724
2.111685	-19.3257
2.115435	-31.8069
2.119218	-26.3466
2.122920	-25.0261
2.126622	-21.8615
2.130323	-9.0111
2.134025	-8.6040
2.137727	-10.9665
2.141428	-19.3366
2.144282	-33.7086
2.146572	-38.8368
2.148420	-38.8735
2.150474	-37.9894
2.152528	-48.6723
2.154581	-50.1054
2.156635	-45.5204
2.158688	-49.7327
2.160742	-40.5113
2.162797	-41.4805
2.164853	-34.1046
2.166909	-33.6809
2.168965	-28.6171
2.170964	-26.3335
2.173622	-22.6669
2.176281	-18.9970
2.178945	-13.4646
2.181875	-16.3009
2.184469	-10.2953
2.186690	-21.9635
2.189135	-19.6773
2.191139	-30.4224
2.193420	-25.3390
2.195992	-27.7142
2.198560	-30.5571
2.201136	-27.8041
2.203685	-18.5140
2.206625	-20.4274
2.209625	-6.9271
2.212625	-13.0427
2.215867	-11.6854
2.218491	-14.0599
2.221407	-16.9078
2.224217	-16.0104
2.226552	-17.9151
2.228887	-18.4151
2.231214	-11.4161
2.233679	-13.3211
2.236105	-29.2953
2.238100	-45.7411
2.240095	-42.4882
2.242090	-39.2324
2.244085	-39.7303
2.246082	-27.0800
2.248079	-23.3467
2.250076	-16.7928
2.252073	-20.1022
2.254689	-14.0192
2.257495	-3.7013
2.260613	-5.1366
2.263731	-5.1596
2.266848	-11.2987
2.269654	-16.9671
2.273084	-33.4697
2.276089	-32.5509
2.278582	-39.1626
2.281072	-45.3042
2.283819	-34.0140
2.286065	-32.6125
2.288477	-27.9108
2.290864	-19.4357
2.293248	-18.0286
2.295639	-5.7763
2.300480	-12.8562
2.303465	-11.4434
2.306450	-13.3304
2.309436	-26.5365
2.312720	-27.4768
2.317496	-30.7705
2.319885	-22.7453
2.322327	-17.5479
2.324238	-10.9369
2.325991	-15.1755
2.328153	-13.2789
2.330119	-9.9679
2.330513	-18.9283
2.333265	-11.3660
2.336116	-18.4243
2.338645	-20.2941
2.341177	-6.5997
2.343709	1.4351
2.346030	-0.4340
2.348212	-12.2036
2.351105	-22.5495
2.353478	-33.3676
2.356116	-38.9948
2.358754	-30.0108
2.361127	-30.4544
2.363754	-21.9430
2.366128	-25.6826
2.368508	-17.6464
2.370635	-18.5617
2.372977	-8.1741
2.375086	-10.5017
2.377629	0.8260
2.379504	2.2604
2.381378	1.3429
2.383440	-0.5123
2.385315	-9.4234
2.387192	-15.5092
2.389257	-24.4105
2.390946	-22.9733
2.392823	-29.0521
2.395066	-19.1479
2.397402	-34.1405
2.399730	-27.9939
2.402000	-24.1980
2.404270	-25.5665
2.406533	-22.7108
2.408802	-12.3506
2.411072	-7.1544
2.413343	-17.4320
2.415613	-15.9862
2.417876	-13.1353
2.420135	-11.2228
2.421959	-19.1528
2.423974	-36.9065
2.425989	-27.0359
2.428004	-43.8412
2.430218	-49.8734
2.432286	-15.2222
2.434701	-40.8885
2.437116	-44.5739
2.439531	-40.3154
2.441946	-32.3245
2.446120	-32.7044
2.448132	-32.6623
2.450145	-31.2212
2.451956	-35.8456
2.453969	-24.1517
2.456090	-18.5201
2.458671	-8.6936
2.461511	-6.3190
2.464093	-10.4639
2.466674	-2.5155
2.469684	-7.5814
2.472908	-23.7859
2.476107	-23.7252
2.479274	-37.5827
2.481819	-42.1652
2.483645	-46.2962
2.485673	-46.2495
2.487499	-40.1867
2.489324	-36.9061
2.491387	-32.2350
2.493903	-34.9603
2.496147	-15.4959
2.500864	-11.2628
2.503059	-18.1552
2.505491	-24.1141
2.507688	-32.8392
2.512324	-39.6618
2.514207	-46.5316
2.514402	-42.8429
2.516352	-43.7226
2.518692	-42.2927
2.520837	-42.2480
2.522787	-42.2079
2.524542	-40.7931
2.526492	-40.2947
2.528247	-31.0780
2.530198	-36.5498
2.532345	-30.0885
2.534720	-36.4648
2.536790	-24.5145
2.538860	-17.6133
2.540722	-16.2145
2.542790	-14.3572
2.545272	-10.6679
2.547961	0.7852
2.551271	-0.0997
2.555196	2.2136
2.556167	-13.2806
2.558108	-21.9164
2.560050	-19.1568
2.561977	-17.7666
2.563901	-11.8278
2.567750	-12.2416
2.569677	-12.6754
2.571605	-11.7472
2.573532	-6.2820
2.575458	-9.4404
2.577383	0.0969
2.579307	-1.7028
2.581232	-3.9537
2.583156	-0.7716
2.585081	-3.0208
2.586880	-6.6253
2.588613	-4.3524
2.590347	-14.7275
2.592081	-23.7382
2.593814	-27.3256
2.595545	-24.5964
2.597276	-38.5460
2.599007	-36.7148
2.600741	-29.9332
2.602475	-32.6086
2.604209	-27.6353
2.605941	-32.5566
2.607673	-22.6473
2.609404	-23.0758
2.611170	-16.3235
2.613020	-11.8208
2.614869	-8.2196
